flight_id,airline,source,destination,route,departure_time,arrival_time,dep_date,dep_hour,overnight,duration_min,anomaly
SJ010,SpiceJet,CCU,MAA,CCU-MAA,2026-04-20 23:38:41,2026-04-21 02:32:41,2026-04-20,23,True,174.0,False
AI155,Air India,BOM,CCU,BOM-CCU,2026-04-20 23:35:41,2026-04-21 01:23:41,2026-04-20,23,True,108.0,False
UK094,Vistara,BOM,CCU,BOM-CCU,2026-04-20 23:26:41,2026-04-21 01:11:41,2026-04-20,23,True,105.0,False
AI245,Air India,BOM,CCU,BOM-CCU,2026-04-20 23:07:41,2026-04-21 01:43:41,2026-04-20,23,True,156.0,False
AI192,Air India,MAA,BOM,MAA-BOM,2026-04-20 23:05:41,2026-04-21 04:04:41,2026-04-20,23,True,299.0,False
SJ158,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 23:05:41,2026-04-21 01:24:41,2026-04-20,23,True,139.0,False
6F196,IndiGo,CCU,MAA,CCU-MAA,2026-04-20 23:04:41,2026-04-21 00:47:41,2026-04-20,23,True,103.0,False
AI080,Air India,BOM,HYD,BOM-HYD,2026-04-20 23:03:41,2026-04-21 00:35:41,2026-04-20,23,True,92.0,False
6F025,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 23:02:41,2026-04-20 23:57:41,2026-04-20,23,False,55.0,False
6F251,IndiGo,DEL,BLR,DEL-BLR,2026-04-20 22:56:41,2026-04-20 23:37:41,2026-04-20,22,False,41.0,False
AI137,Air India,BOM,DEL,BOM-DEL,2026-04-20 22:49:41,2026-04-21 01:17:41,2026-04-20,22,True,148.0,False
6F026,IndiGo,BOM,CCU,BOM-CCU,2026-04-20 22:46:42,2026-04-21 03:13:42,2026-04-20,22,True,267.0,False
UK167,Vistara,DEL,MAA,DEL-MAA,2026-04-20 22:45:41,2026-04-21 01:46:41,2026-04-20,22,True,181.0,False
UK027,Vistara,BOM,CCU,BOM-CCU,2026-04-20 22:44:41,2026-04-21 01:05:41,2026-04-20,22,True,141.0,False
